Emp_ID,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,Department,salary
VE771474,0.38,0.5,2,140,3,0,1,0,sales,medium
XM677457,0.37,0.51,2,127,3,0,1,0,sales,medium
LN898544,0.11,0.85,6,308,5,0,1,0,sales,medium
FV369985,0.4,0.47,2,146,3,0,1,0,sales,medium
MM913157,0.1,0.84,6,261,4,0,1,0,accounting,medium
AU951511,0.89,0.99,5,257,5,0,1,0,accounting,medium
QE126082,0.11,0.8,6,285,4,0,1,0,accounting,medium
BD366257,0.36,0.55,2,141,3,0,1,0,hr,medium
VZ197571,0.4,0.46,2,127,3,0,1,0,hr,medium
JM657065,0.09,0.85,6,297,4,0,1,0,hr,medium
PN197656,0.4,0.46,2,143,3,0,1,0,hr,medium
RS832237,0.37,0.55,2,152,3,0,1,0,technical,medium
OX914525,0.44,0.51,2,156,3,0,1,0,technical,high
YI271032,0.09,0.8,7,283,5,0,1,0,technical,low
QW214896,0.92,0.87,4,226,6,1,1,0,technical,medium
JW808325,0.74,0.91,4,232,5,0,1,0,technical,medium
LP833794,0.09,0.82,6,249,4,0,1,0,technical,medium
BX989601,0.89,0.95,4,275,5,0,1,0,technical,medium
QW503062,0.09,0.8,6,304,4,0,1,0,technical,low
KY431311,0.27,0.54,7,278,3,0,1,0,technical,low
YR768641,0.1,0.91,6,287,4,0,1,0,technical,low
HW717833,0.1,0.89,7,285,4,0,1,0,technical,low
ON151946,0.77,0.94,5,226,6,0,1,0,support,low
VB387292,0.9,0.82,5,259,5,0,1,0,support,low
IB349999,0.39,0.5,2,135,3,0,1,0,support,low
IK899744,0.76,1,5,219,5,0,1,0,support,low
RK130694,0.1,0.93,6,256,4,0,1,0,support,low
SS154776,0.87,0.9,5,254,6,0,1,0,support,low
PQ755572,0.38,0.5,2,153,3,0,1,0,support,low
FS264140,0.77,0.99,5,228,5,0,1,0,support,low
KU801338,0.78,0.87,4,228,5,0,1,0,support,low
US281485,0.44,0.5,2,128,3,0,1,0,support,low
WR593530,0.38,0.52,2,153,3,0,1,0,support,low
XI570508,0.43,0.46,2,156,3,0,1,0,technical,low
RF831463,0.39,0.5,4,294,3,0,1,0,technical,low
TL153396,0.88,1,5,219,5,0,1,0,technical,low
AV912950,0.45,0.46,2,153,3,0,1,0,management,low
ZH479828,0.4,0.53,2,151,3,0,1,0,IT,low
RR662848,0.36,0.51,2,155,3,0,1,0,IT,low
FI895384,0.36,0.48,2,158,3,0,1,0,IT,low
WN570416,0.9,0.98,5,245,5,0,1,0,IT,low
PE759172,0.43,0.53,2,131,3,0,1,0,IT,low
ZX240320,0.89,0.87,5,225,5,0,1,0,product_mng,low
SK696955,0.1,0.84,6,286,4,0,1,0,product_mng,low
EP877040,0.37,0.5,2,135,3,0,1,0,product_mng,low
VN253807,0.37,0.51,2,153,3,0,1,0,product_mng,low
KJ475087,0.87,0.9,5,252,5,0,1,0,IT,low
TT788894,0.4,0.56,2,149,3,0,1,0,accounting,low
WJ220371,0.9,0.97,4,258,5,0,1,0,accounting,low
EW652841,0.37,0.46,2,158,3,0,1,0,hr,low
KG998277,0.44,0.54,2,149,3,0,1,0,hr,low
JB684066,0.85,0.95,5,236,5,0,1,0,hr,low
BD196113,0.78,0.98,5,239,6,0,1,0,marketing,low
OI581256,0.42,0.47,2,159,3,0,1,0,marketing,low
UP399905,0.92,0.99,5,255,6,0,1,0,sales,low
BF815897,0.11,0.83,6,244,4,0,1,0,accounting,low
JN945312,0.42,0.56,2,134,3,0,1,0,support,low
WE186641,0.48,0.57,4,270,4,0,1,0,technical,low
GY351303,0.83,0.85,4,255,5,0,1,0,management,low
FA501422,0.4,0.53,2,151,3,0,1,0,marketing,low
WQ903815,0.43,0.45,2,135,3,0,1,0,marketing,low
MX976662,0.43,0.53,2,146,3,0,1,0,marketing,low
GQ581378,0.1,0.97,7,254,4,0,1,0,sales,low
SN228368,0.1,0.87,7,289,4,0,1,0,sales,low
JU983175,0.37,0.46,2,156,3,0,1,0,sales,low
LP189655,0.38,0.53,2,156,3,0,1,0,sales,low
GB284999,0.4,0.5,2,128,3,0,1,0,sales,low
TW324619,0.89,0.86,5,275,5,0,1,0,sales,low
CM817057,0.45,0.46,2,155,3,0,1,0,sales,low
CV711636,0.37,0.48,2,159,3,0,1,0,sales,low
SO575158,0.46,0.49,2,148,3,0,1,0,sales,low
SF278014,0.87,0.91,4,228,5,0,1,0,sales,low
ZU364675,0.11,0.84,6,298,4,0,1,0,sales,low
RE849194,0.79,0.87,5,261,5,0,1,0,sales,low
FR321165,0.79,0.92,5,254,6,0,1,0,sales,low
OL219982,0.19,0.59,7,192,3,0,1,0,sales,low
OX161143,0.87,0.98,4,248,5,0,1,0,sales,low
DJ681700,0.6,0.92,2,258,5,0,1,0,sales,low
RZ244208,0.44,0.45,2,156,3,0,1,0,sales,medium
WO781556,0.11,0.81,6,266,4,1,1,0,sales,medium
ZK621840,0.42,0.54,2,156,3,0,1,0,sales,medium
RM597122,0.88,0.88,5,232,5,1,1,0,accounting,medium
TP697893,0.11,0.84,6,287,4,0,1,0,accounting,medium
JJ202672,0.46,0.46,2,154,3,0,1,0,accounting,medium
VN519620,0.82,0.97,5,263,5,0,1,0,hr,medium
BY169304,0.44,0.56,2,131,3,0,1,0,hr,medium
XT655812,0.11,0.78,6,260,4,0,1,0,hr,medium
NO545371,0.42,0.5,2,139,3,0,1,0,hr,medium
LI482024,0.84,0.93,4,251,5,0,1,0,technical,medium
PB875149,0.11,0.95,6,286,4,0,1,0,technical,medium
MK128056,0.45,0.53,2,129,3,0,1,0,technical,high
VL756728,0.38,0.56,2,156,3,0,1,0,technical,low
AZ195534,0.38,0.86,6,139,6,0,1,0,technical,medium
OB298107,0.44,0.51,2,127,3,0,1,0,technical,medium
MI179378,0.11,0.84,6,251,4,0,1,0,technical,medium
WZ546799,0.81,0.93,5,270,5,0,1,0,technical,medium
ET513732,0.09,0.96,6,296,4,0,1,0,technical,low
CZ677702,0.11,0.9,6,254,4,0,1,0,technical,low
QI836133,0.81,0.95,5,238,6,0,1,0,technical,low
LO758074,0.1,0.97,6,267,4,1,1,0,support,low
IC534800,0.74,0.89,5,229,6,0,1,0,support,low
CR242296,0.09,0.78,6,254,4,0,1,0,support,low
GJ456314,0.82,0.81,4,233,4,1,1,0,support,low
TD886547,0.1,0.98,6,268,4,0,1,0,support,low
OQ788590,0.27,0.56,3,301,3,0,1,0,support,low
ND230695,0.83,0.92,5,267,6,0,1,0,support,low
UO617976,0.1,0.93,6,289,4,1,1,0,support,low
OP590471,0.38,0.47,2,144,3,0,1,0,support,low
LK739345,0.4,0.56,2,148,3,0,1,0,support,low
RB842441,0.11,0.83,6,306,4,0,1,0,support,low
TP462042,0.11,0.79,6,292,4,0,1,1,technical,low
ZA394846,0.82,0.91,5,232,5,0,1,0,technical,low
SU989385,0.36,0.48,2,137,3,0,1,0,technical,low
HX301828,0.4,0.46,2,128,3,0,1,0,management,low
PY483307,0.87,0.84,5,231,5,0,1,0,IT,low
UY688628,0.41,0.49,2,146,3,0,1,0,IT,low
VC489287,0.11,0.91,6,308,4,1,1,0,IT,low
ZS549301,0.1,0.93,6,253,4,0,1,0,IT,medium
UG720849,0.38,0.51,2,146,3,0,1,0,IT,medium
UN322758,0.39,0.55,2,156,3,0,1,0,product_mng,medium
ET657553,0.4,0.52,2,147,3,0,1,0,product_mng,medium
FH290225,0.45,0.48,2,136,3,0,1,0,product_mng,medium
CH759753,0.74,0.84,5,249,5,0,1,0,product_mng,medium
GK260547,0.45,0.55,2,151,3,0,1,0,IT,medium
ND622860,0.12,1,3,278,4,0,1,0,RandD,medium
JI979845,0.1,0.77,7,250,5,0,1,0,RandD,medium
LW933797,0.37,0.55,2,127,3,0,1,0,RandD,medium
JS474809,0.89,0.87,5,255,5,0,1,0,RandD,medium
NX925989,0.45,0.47,2,135,3,0,1,0,RandD,medium
LV300636,0.37,0.46,2,149,3,0,1,0,marketing,high
WT380547,0.11,0.81,5,287,4,0,1,0,sales,low
BX675735,0.41,0.48,2,145,3,0,1,0,accounting,medium
FA997723,0.1,0.94,6,285,4,0,1,0,support,medium
PC937362,0.1,0.93,7,305,4,0,1,0,technical,medium
AL937663,0.11,0.95,7,300,4,0,1,0,management,medium
VF713121,0.4,0.54,2,139,3,0,1,0,marketing,low
RP478556,0.41,0.49,2,130,3,0,1,0,marketing,low
HA407673,0.1,0.81,6,268,4,0,1,0,marketing,low
EL713437,0.73,0.86,4,245,6,0,1,0,sales,low
AI467843,0.43,0.47,2,135,3,0,1,0,sales,low
FI507114,0.37,0.46,2,153,3,0,1,0,sales,low
MX449605,0.11,0.94,6,276,4,0,1,0,sales,low
BV551388,0.4,0.46,2,130,3,0,1,0,sales,low
BC316685,0.41,0.54,2,153,3,1,1,0,sales,low
TA811016,0.82,0.84,5,244,5,0,1,0,sales,low
EC461811,0.61,0.47,2,253,3,0,1,0,sales,low
DG323573,0.11,0.91,7,287,4,0,1,0,sales,low
GX893989,0.37,0.45,2,131,3,0,1,0,sales,low
OV613845,0.41,0.52,2,135,3,0,1,0,sales,low
HR674797,0.37,0.52,2,157,3,0,1,0,sales,low
CW941415,0.88,0.99,5,262,6,0,1,0,sales,low
IJ306020,0.1,0.85,6,266,4,0,1,0,sales,low
WV125656,0.44,0.48,2,148,3,0,1,0,sales,low
UN153172,0.38,0.57,2,140,3,0,1,0,sales,low
GV709647,0.11,0.85,7,302,4,0,1,0,sales,low
GK700594,0.09,0.98,6,271,4,0,1,0,sales,low
VR895626,0.45,0.52,2,145,3,0,1,0,sales,medium
SJ404103,0.1,0.81,6,290,4,0,1,0,accounting,medium
PH385248,0.45,0.47,2,151,3,0,1,0,accounting,medium
GR971359,0.77,0.87,5,266,5,0,1,0,accounting,medium
WE717527,0.44,0.51,2,140,3,0,1,0,hr,medium
IB747803,0.39,0.5,2,142,3,0,1,0,hr,medium
HE248541,0.1,0.91,6,246,4,0,1,0,hr,medium
FM806145,0.09,0.89,7,308,5,0,1,0,hr,medium
QB246698,0.37,0.47,2,141,3,0,1,0,technical,medium
TM532498,0.9,1,5,232,5,0,1,0,technical,medium
MQ254814,0.41,0.56,2,143,3,0,1,0,technical,medium
SS231003,0.37,0.52,2,155,3,0,1,0,technical,medium
UU522679,0.1,0.86,6,278,4,0,1,0,technical,high
JB294778,0.81,1,4,253,5,0,1,0,technical,low
GB729220,0.11,0.8,6,282,4,0,1,0,technical,medium
MJ861554,0.11,0.84,7,264,4,0,1,0,technical,medium
FR289756,0.4,0.46,2,149,3,0,1,0,technical,medium
FR950063,0.09,0.8,6,304,5,0,1,0,technical,medium
HZ648952,0.48,0.93,3,219,6,0,1,0,technical,low
MC335408,0.91,0.91,4,262,6,0,1,0,support,low
XA964637,0.43,0.57,2,135,3,0,1,0,support,low
BB813970,0.33,0.88,6,219,5,0,1,0,support,low
QY400466,0.41,0.57,2,136,3,0,1,0,support,low
VW384308,0.41,0.55,2,154,3,0,1,0,support,low
LO701055,0.37,0.54,2,149,3,0,1,0,support,low
TE906997,0.31,0.62,6,135,5,0,1,0,support,low
XJ624779,0.09,0.91,6,275,4,0,1,0,support,low
FU487602,0.1,0.87,6,290,4,0,1,0,support,low
OD907167,0.76,0.9,4,263,5,0,1,0,support,low
ES194339,0.41,0.54,2,145,3,0,1,0,support,low
BW740565,0.72,0.96,5,267,5,0,1,0,technical,low
HR595381,0.4,0.5,2,141,3,1,1,0,technical,low
XL162338,0.91,0.87,4,235,5,0,1,0,technical,low
CG611053,0.1,0.83,6,258,4,0,1,0,management,low
NT971670,0.4,0.56,2,131,3,0,1,0,IT,low
LB906757,0.82,0.86,5,243,5,0,1,0,IT,low
ML268380,0.1,0.82,6,266,4,0,1,0,IT,low
AK999768,0.37,0.45,2,142,3,0,1,0,IT,low
LD641243,0.36,0.51,2,135,3,0,1,0,IT,low
XI380175,0.39,0.48,2,141,3,0,1,0,product_mng,medium
LG290023,0.36,0.57,2,142,3,0,1,0,product_mng,medium
MD283944,0.86,0.84,5,254,5,0,1,0,product_mng,medium
SF801876,0.73,0.99,5,262,5,0,1,0,product_mng,medium
EQ266877,0.56,0.71,4,296,2,0,1,0,IT,medium
RM377971,0.44,0.56,2,158,3,0,1,0,accounting,medium
OD669170,0.31,0.56,4,238,2,0,1,0,accounting,medium
IB670468,0.77,0.93,4,231,5,0,1,0,hr,medium
FJ258409,0.44,0.45,2,156,3,0,1,0,hr,medium
GU246530,0.38,0.46,2,145,3,0,1,0,hr,medium
IB326072,0.45,0.48,2,144,3,0,1,0,marketing,medium
IH270271,0.38,0.51,2,159,3,0,1,0,sales,medium
DG196688,0.36,0.48,2,156,3,0,1,0,accounting,high
VZ655705,0.75,0.9,5,256,5,0,1,0,support,low
IA884508,0.1,0.93,6,298,4,0,1,0,technical,medium
AX495379,0.1,0.97,6,247,4,0,1,0,management,medium
CR701943,0.45,0.5,2,157,3,0,1,0,marketing,medium
PG669765,0.42,0.57,2,154,3,1,1,0,marketing,medium
FR434940,0.78,1,4,253,5,0,1,0,marketing,low
FR561207,0.45,0.55,2,148,3,0,1,0,sales,low
SX463251,0.84,1,4,261,5,0,1,0,sales,low
XH558132,0.11,0.93,6,282,4,0,1,0,sales,low
LX664205,0.42,0.56,2,133,3,0,1,0,sales,low
MJ870269,0.45,0.46,2,128,3,0,1,0,sales,low
YA379778,0.46,0.57,2,139,3,0,1,0,sales,low
HR876000,0.09,0.79,6,293,5,0,1,0,sales,low
GB642999,0.87,0.83,4,265,6,0,1,0,sales,low
EB690347,0.1,0.87,6,250,4,0,1,0,sales,low
VF179679,0.91,1,5,251,6,0,1,0,sales,low
CO351055,0.76,0.92,4,246,5,0,1,0,sales,low
GO986589,0.74,1,5,275,5,0,1,0,sales,low
AO437308,0.92,0.93,5,240,5,0,1,0,sales,low
HX822941,0.76,0.87,5,245,5,0,1,0,sales,low
TN437439,0.47,0.5,4,254,4,0,1,0,sales,low
CP921162,0.73,0.99,5,241,5,0,1,0,sales,low
NW777963,0.09,0.94,6,257,4,0,1,0,sales,low
NG432381,0.91,0.92,4,246,5,0,1,0,sales,low
GJ638861,0.82,0.98,4,233,5,0,1,0,sales,low
XO757167,0.28,0.45,6,218,4,0,1,0,accounting,low
QG355679,0.84,0.99,4,262,6,0,1,0,accounting,medium
MG173107,0.45,0.53,2,138,3,0,1,0,accounting,medium
GP389896,0.45,0.54,2,142,3,0,1,0,hr,medium
EJ651555,0.91,0.97,5,233,5,0,1,0,hr,medium
RQ624074,0.42,0.48,2,155,3,0,1,0,hr,medium
BD873166,0.82,1,4,229,6,0,1,0,hr,medium
IB709852,0.11,0.9,6,264,4,0,1,0,technical,medium
VD666168,0.42,0.53,3,199,4,0,1,0,technical,medium
GP534605,0.82,0.85,4,223,5,0,1,0,technical,medium
MW605118,0.09,0.96,6,268,4,0,1,0,technical,medium
FJ641108,0.1,0.94,6,287,4,0,1,0,technical,medium
CB858321,0.86,1,5,257,5,0,1,0,technical,medium
LC761190,0.4,0.46,2,143,3,0,1,0,technical,high
GH749305,0.45,0.46,2,130,3,0,1,0,technical,low
TA420772,0.42,0.51,2,136,3,0,1,0,technical,medium
SI401244,0.74,0.92,4,261,5,0,1,0,technical,medium
XI864890,0.55,0.6,3,180,4,0,1,0,technical,medium
ES549193,0.37,0.45,2,126,3,0,1,0,support,medium
GX397155,0.41,0.52,2,127,3,1,1,0,support,low
SA183298,0.89,0.65,5,195,6,0,1,0,support,low
PS163315,0.41,0.57,2,160,3,0,1,0,support,low
AN997418,0.44,0.51,2,150,3,0,1,0,support,low
JF944842,0.87,0.84,4,264,6,0,1,0,support,low
UU392796,0.1,0.84,6,309,4,0,1,0,support,low
VV878472,0.41,0.47,2,135,3,0,1,0,support,low
IJ924587,0.11,0.85,6,261,4,0,1,0,support,low
AV256701,0.43,0.53,2,160,3,0,1,0,support,low
XF832775,0.77,0.9,4,237,5,0,1,0,support,low
VY471094,0.41,0.52,2,136,3,0,1,0,technical,low
BE436415,0.41,0.48,2,139,3,0,1,0,technical,low
RQ299244,0.36,0.78,2,151,4,0,1,0,technical,low
SR691150,0.77,1,5,229,5,0,1,0,management,low
OB687766,0.81,0.98,5,245,5,0,1,0,IT,low
VJ930858,0.39,0.54,2,127,3,0,1,0,IT,low
ZH287749,0.09,0.94,6,283,5,0,1,0,IT,low
DH382042,0.44,0.46,2,143,3,0,1,0,IT,low
MY258642,0.1,0.84,5,298,4,0,1,0,IT,low
WW911256,0.36,0.48,2,159,3,0,1,0,product_mng,low
CK535363,0.81,0.92,5,239,5,0,1,0,product_mng,low
KL923478,0.81,0.9,4,226,5,0,1,0,product_mng,medium
YF394169,0.85,0.98,5,248,5,0,1,0,product_mng,medium
WA175296,0.1,0.87,6,286,4,0,1,0,IT,medium
SF426385,0.37,0.54,2,145,3,0,1,0,RandD,medium
JE803054,0.09,0.97,7,254,4,1,1,0,RandD,medium
XS699991,0.44,0.53,2,127,3,0,1,0,RandD,medium
